desviations_matrix_abs,subj,cond
0.013887998630034,CRES12,CONTROL
0.044622074568518,CRES13,CONTROL
0.044992595445797,CRES13,CONTROL
0.061693903125574,CRES13,CONTROL
0.103028612644079,CRES13,CONTROL
0.0389744241008884,CRES13,CONTROL
0.065485918820578,CRES13,CONTROL
0.107815380313041,CRES13,CONTROL
0.039373444333704,CRES13,CONTROL
0.0600354608338619,CRES13,CONTROL
0.013149796168938,CRES13,CONTROL
0.005893089034673,CRES13,CONTROL
0.00303667671837099,CRES13,CONTROL
0.000318532075948605,CRES13,CONTROL
0.025191956733268,CRES13,CONTROL
0.000794608013979601,CRES13,CONTROL
0.011434609402082,CRES13,CONTROL
0.015070921107185,CRES13,CONTROL
0.00167012652088799,CRES13,CONTROL
0.0249452842301691,CRES13,CONTROL
0.042165609523489,CRES13,CONTROL
0.045563119929373,CRES13,CONTROL
0.0442885159422755,CRES13,CONTROL
0.034911013773286,CRES13,CONTROL
0.052167019984952,CRES13,CONTROL
0.03294355095979,CRES13,CONTROL
0.062710034209997,CRES13,CONTROL
0.018314824994453,CRES13,CONTROL
0.010334118386618,CRES13,CONTROL
0.000990187583154001,CRES13,CONTROL
0.00274007267984203,CRES13,CONTROL
0.017481247430185,CRES13,CONTROL
0.00167549198079803,CRES13,CONTROL
0.00879779970271999,CRES13,CONTROL
0.0089300961917907,CRES13,CONTROL
0.042182638566457,CRES13,CONTROL
0.039839890397526,CRES13,CONTROL
0.1159083666211,CRES13,CONTROL
0.0087568637352872,CRES13,CONTROL
0.028017568947445,CRES13,CONTROL
0.023676918712022,CRES13,CONTROL
0.00326984320901397,CRES13,CONTROL
0.0459265378950752,CRES13,CONTROL
0.007709938905264,CRES13,CONTROL
0.0122693300924769,CRES13,CONTROL
0.00849990354156099,CRES13,CONTROL
0.058911004625973,CRES13,CONTROL
0.0289565099214681,CRES13,CONTROL
0.037457260338995,CRES13,CONTROL
0.036609943334223,CRES13,CONTROL
0.023995935352082,CRES13,CONTROL
